t_s,TimeUS,mode,armed,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14
6.879,533244251,17,1,1500,1500,1593,1500,2000,2000,999,1500,999,999,2000,2000,880,880
6.919,533284248,17,1,1500,1500,1593,1500,2000,2000,999,1500,999,999,2000,2000,880,880
6.959,533324370,17,1,1500,1500,1593,1500,2000,2000,999,1500,999,999,2000,2000,880,880
6.999,533364138,17,1,1500,1500,1593,1500,2000,2000,999,1500,999,999,2000,2000,880,880
7.039,533404037,17,1,1500,1500,1593,1500,2000,2000,999,1500,999,999,2000,2000,880,880
7.079,533444057,17,1,1500,1500,1592,1500,2000,2000,999,1500,999,999,2000,2000,880,880
7.119,533484232,17,1,1500,1500,1592,1500,2000,2000,999,1500,999,999,2000,2000,880,880
7.159,533524003,17,1,1500,1500,1593,1500,2000,2000,999,1500,999,999,2000,2000,880,880
7.199,533564202,17,1,1500,1500,1593,1500,2000,2000,999,1500,999,999,2000,2000,880,880
7.239,533604326,17,1,1500,1500,1593,1500,2000,2000,999,1500,999,999,2000,2000,880,880
7.279,533644054,17,1,1500,1500,1593,1500,2000,2000,999,1500,999,999,2000,2000,880,880
7.319,533684031,17,1,1500,1500,1595,1500,2000,2000,999,1500,999,999,2000,2000,880,880
7.359,533724022,17,1,1500,1500,1596,1500,2000,2000,999,1500,999,999,2000,2000,880,880
7.399,533764131,17,1,1500,1500,1597,1500,2000,2000,999,1500,999,999,2000,2000,880,880
7.439,533804265,17,1,1500,1500,1598,1500,2000,2000,999,1500,999,999,2000,2000,880,880
7.479,533844257,17,1,1500,1500,1598,1500,2000,2000,999,1500,999,999,2000,2000,880,880
7.519,533884029,17,1,1500,1500,1598,1500,2000,2000,999,1500,999,999,2000,2000,880,880
7.559,533923954,17,1,1500,1500,1598,1500,2000,2000,999,1500,999,999,2000,2000,880,880
7.599,533964212,17,1,1500,1500,1598,1500,2000,2000,999,1500,999,999,2000,2000,880,880
7.639,534004295,17,1,1500,1500,1598,1500,2000,2000,999,1500,999,999,2000,2000,880,880
7.679,534044247,17,1,1500,1500,1598,1500,2000,2000,999,1500,999,999,2000,2000,880,880
7.719,534084251,17,1,1500,1500,1598,1500,2000,2000,999,1500,999,999,2000,2000,880,880
7.759,534124389,17,1,1500,1500,1598,1500,2000,2000,999,1500,999,999,2000,2000,880,880
7.799,534164161,17,1,1500,1500,1598,1500,2000,2000,999,1500,999,999,2000,2000,880,880
7.840,534205145,17,1,1500,1500,1598,1500,2000,2000,999,1500,999,999,2000,2000,880,880
7.879,534244184,17,1,1500,1500,1598,1500,2000,2000,999,1500,999,999,2000,2000,880,880
7.919,534284183,17,1,1500,1500,1598,1500,2000,2000,999,1500,999,999,2000,2000,880,880
7.959,534324685,17,1,1500,1500,1598,1500,2000,2000,999,1500,999,999,2000,2000,880,880
7.999,534364291,17,1,1500,1500,1598,1500,2000,2000,999,1500,999,999,2000,2000,880,880
8.040,534405369,17,1,1500,1500,1597,1500,2000,2000,999,1500,999,999,2000,2000,880,880
8.079,534444220,17,1,1500,1500,1598,1500,2000,2000,999,1500,999,999,2000,2000,880,880
8.119,534484206,17,1,1500,1500,1598,1500,2000,2000,999,1500,999,999,2000,2000,880,880
8.160,534525043,17,1,1500,1500,1598,1500,2000,2000,999,1500,999,999,2000,2000,880,880
8.199,534564089,17,1,1500,1500,1598,1500,2000,2000,999,1500,999,999,2000,2000,880,880
8.239,534603934,17,1,1500,1500,1598,1500,2000,2000,999,1500,999,999,2000,2000,880,880
8.279,534643984,17,1,1500,1500,1598,1500,2000,2000,999,1500,999,999,2000,2000,880,880
8.319,534683982,17,1,1500,1500,1598,1500,2000,2000,999,1500,999,999,2000,2000,880,880
8.359,534723965,17,1,1500,1500,1598,1500,2000,2000,999,1500,999,999,2000,2000,880,880
8.399,534764079,17,1,1500,1500,1598,1500,2000,2000,999,1500,999,999,2000,2000,880,880
8.439,534803869,17,1,1500,1500,1598,1500,2000,2000,999,1500,999,999,2000,2000,880,880
8.479,534843970,17,1,1500,1500,1598,1500,2000,2000,999,1500,999,999,2000,2000,880,880
8.519,534883808,17,1,1500,1500,1598,1500,2000,2000,999,1500,999,999,2000,2000,880,880
8.559,534924542,17,1,1500,1500,1598,1500,2000,2000,999,1500,999,999,2000,2000,880,880
8.599,534964625,17,1,1500,1500,1598,1500,2000,2000,999,1500,999,999,2000,2000,880,880
8.639,535004235,17,1,1500,1500,1598,1500,2000,2000,999,1500,999,999,2000,2000,880,880
8.679,535044209,17,1,1500,1500,1598,1500,2000,2000,999,1500,999,999,2000,2000,880,880
8.719,535083930,17,1,1500,1500,1598,1500,2000,2000,999,1500,999,999,2000,2000,880,880
8.759,535123914,17,1,1500,1500,1598,1500,2000,2000,999,1500,999,999,2000,2000,880,880
8.799,535164039,17,1,1500,1500,1598,1500,2000,2000,999,1500,999,999,2000,2000,880,880
8.840,535205032,17,1,1500,1500,1598,1500,2000,2000,999,1500,999,999,2000,2000,880,880
8.879,535243870,17,1,1500,1500,1598,1500,2000,2000,999,1500,999,999,2000,2000,880,880
8.919,535283812,17,1,1500,1500,1598,1500,2000,2000,999,1500,999,999,2000,2000,880,880
8.959,535323825,17,1,1500,1500,1598,1500,2000,2000,999,1500,999,999,2000,2000,880,880
8.999,535364009,17,1,1500,1500,1598,1500,2000,2000,999,1500,999,999,2000,2000,880,880
9.039,535403888,17,1,1500,1500,1598,1500,2000,2000,999,1500,999,999,2000,2000,880,880
9.079,535444077,17,1,1500,1500,1598,1500,2000,2000,999,1500,999,999,2000,2000,880,880
9.119,535483818,17,1,1500,1500,1598,1500,2000,2000,999,1500,999,999,2000,2000,880,880
9.159,535523790,17,1,1500,1500,1598,1500,2000,2000,999,1500,999,999,2000,2000,880,880
9.199,535564231,17,1,1500,1500,1599,1500,2000,2000,999,1500,999,999,2000,2000,880,880
9.239,535604146,17,1,1500,1500,1598,1500,2000,2000,999,1500,999,999,2000,2000,880,880
9.279,535643892,17,1,1500,1500,1598,1500,2000,2000,999,1500,999,999,2000,2000,880,880
9.319,535683864,17,1,1500,1500,1599,1500,2000,2000,999,1500,999,999,2000,2000,880,880
9.359,535723859,17,1,1500,1500,1599,1500,2000,2000,999,1500,999,999,2000,2000,880,880
9.399,535763960,17,1,1500,1500,1598,1500,2000,2000,999,1500,999,999,2000,2000,880,880
9.439,535804119,17,1,1500,1500,1599,1500,2000,2000,999,1500,999,999,2000,2000,880,880
9.479,535844245,17,1,1500,1500,1600,1500,2000,2000,999,1500,999,999,2000,2000,880,880
9.518,535883765,17,1,1500,1500,1600,1500,2000,2000,999,1500,999,999,2000,2000,880,880
9.559,535923804,17,1,1500,1500,1600,1500,2000,2000,999,1500,999,999,2000,2000,880,880
9.599,535964051,17,1,1500,1500,1600,1500,2000,2000,999,1500,999,999,2000,2000,880,880
9.640,536004983,17,1,1500,1500,1601,1500,2000,2000,999,1500,999,999,2000,2000,880,880
9.679,536044080,17,1,1500,1500,1601,1500,2000,2000,999,1500,999,999,2000,2000,880,880
9.719,536083815,17,1,1500,1500,1601,1500,2000,2000,999,1500,999,999,2000,2000,880,880
9.759,536123797,17,1,1500,1500,1601,1500,2000,2000,999,1500,999,999,2000,2000,880,880
9.799,536163908,17,1,1500,1500,1602,1500,2000,2000,999,1500,999,999,2000,2000,880,880
9.838,536203766,17,1,1500,1500,1602,1500,2000,2000,999,1500,999,999,2000,2000,880,880
9.879,536243841,17,1,1500,1500,1610,1500,2000,2000,999,1500,999,999,2000,2000,880,880
9.918,536283783,17,1,1500,1500,1618,1500,2000,2000,999,1500,999,999,2000,2000,880,880
9.958,536323752,17,1,1500,1500,1625,1500,2000,2000,999,1500,999,999,2000,2000,880,880
9.999,536363882,17,1,1500,1500,1640,1500,2000,2000,999,1500,999,999,2000,2000,880,880
10.039,536403795,17,1,1500,1500,1642,1500,2000,2000,999,1500,999,999,2000,2000,880,880
10.079,536443976,17,1,1500,1500,1643,1500,2000,2000,999,1500,999,999,2000,2000,880,880
10.119,536483939,17,1,1500,1500,1651,1500,2000,2000,999,1500,999,999,2000,2000,880,880
10.158,536523757,17,1,1500,1500,1658,1500,2000,2000,999,1500,999,999,2000,2000,880,880
10.199,536563885,17,1,1500,1500,1658,1500,2000,2000,999,1500,999,999,2000,2000,880,880
10.239,536603790,17,1,1500,1500,1657,1500,2000,2000,999,1500,999,999,2000,2000,880,880
10.278,536643653,17,1,1500,1500,1657,1500,2000,2000,999,1500,999,999,2000,2000,880,880
10.318,536683729,17,1,1500,1500,1657,1500,2000,2000,999,1500,999,999,2000,2000,880,880
10.358,536723741,17,1,1500,1500,1657,1500,2000,2000,999,1500,999,999,2000,2000,880,880
10.399,536763865,17,1,1500,1500,1657,1500,2000,2000,999,1500,999,999,2000,2000,880,880
10.438,536803756,17,1,1500,1500,1657,1500,2000,2000,999,1500,999,999,2000,2000,880,880
10.479,536843942,17,1,1500,1500,1657,1500,2000,2000,999,1500,999,999,2000,2000,880,880
10.518,536883760,17,1,1500,1500,1657,1500,2000,2000,999,1500,999,999,2000,2000,880,880
10.558,536923725,17,1,1500,1500,1657,1500,2000,2000,999,1500,999,999,2000,2000,880,880
10.599,536964160,17,1,1500,1500,1657,1500,2000,2000,999,1500,999,999,2000,2000,880,880
10.639,537003915,17,1,1500,1500,1657,1500,2000,2000,999,1500,999,999,2000,2000,880,880
10.679,537044045,17,1,1500,1500,1657,1500,2000,2000,999,1500,999,999,2000,2000,880,880
10.718,537083718,17,1,1500,1500,1657,1500,2000,2000,999,1500,999,999,2000,2000,880,880
10.759,537124403,17,1,1500,1500,1656,1500,2000,2000,999,1500,999,999,2000,2000,880,880
10.799,537164023,17,1,1500,1500,1656,1500,2000,2000,999,1500,999,999,2000,2000,880,880
10.838,537203589,17,1,1500,1500,1657,1500,2000,2000,999,1500,999,999,2000,2000,880,880
10.879,537243908,17,1,1500,1500,1657,1500,2000,2000,999,1500,999,999,2000,2000,880,880
10.918,537283694,17,1,1500,1500,1657,1500,2000,2000,999,1500,999,999,2000,2000,880,880
10.960,537324816,17,1,1500,1500,1657,1500,2000,2000,999,1500,999,999,2000,2000,880,880
10.999,537363802,17,1,1500,1500,1656,1500,2000,2000,999,1500,999,999,2000,2000,880,880
11.038,537403586,17,1,1500,1500,1657,1500,2000,2000,999,1500,999,999,2000,2000,880,880
11.078,537443558,17,1,1500,1500,1657,1500,2000,2000,999,1500,999,999,2000,2000,880,880
11.118,537483585,17,1,1500,1500,1657,1500,2000,2000,999,1500,999,999,2000,2000,880,880
11.159,537524337,17,1,1500,1500,1658,1500,2000,2000,999,1500,999,999,2000,2000,880,880
